,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
136,CHEMBL5091324,1500.0,nM,CN(C)C(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,5.823908740944319,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F200>
137,CHEMBL3596907,2000.0,nM,O=C(c1cccc(Cl)c1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,5.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F270>
138,CHEMBL4552628,2100.0,nM,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,5.6777807052660805,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F2E0>
141,CHEMBL4784049,2160.0,nM,Cc1cccc(C)c1NC(=O)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.665546248849069,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F430>
142,CHEMBL3580962,2200.0,nM,N[C@H]1CC[C@H](CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)CC1,5.657577319177793,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F4A0>
143,CHEMBL4776761,2290.0,nM,O=C(Nc1ccc(Cl)c(Cl)c1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.6401645176601125,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F510>
147,CHEMBL4779077,2510.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1cccc(C(F)(F)F)c1,5.600326278518962,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F6D0>
150,CHEMBL1762546,3100.0,nM,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1,5.508638306165727,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F820>
152,CHEMBL3969873,3300.0,nM,COCc1ccc(C)c(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)c1,5.481486060122112,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F900>
156,CHEMBL4779629,4030.0,nM,O=C(Nc1ccc(Br)cc1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.39469495385889,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FAC0>
157,CHEMBL4780102,4170.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1cccc(Cl)c1Cl,5.379863945026242,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FB30>
159,CHEMBL4793597,4540.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(F)cc1,5.342944147142896,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FC10>
161,CHEMBL4789740,4710.0,nM,Cc1ccc(NC(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.326979092871104,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FCF0>
162,CHEMBL5179545,5000.0,nM,CCC(=O)c1n[nH]c2ccc(-c3ccccc3Cl)cc12,5.301029995663981,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FD60>
163,CHEMBL4748736,5000.0,nM,CNC(=O)c1n[nH]c2cc(-c3ccccc3Cl)ccc12,5.301029995663981,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FDD0>
164,CHEMBL4782248,5170.0,nM,O=C(Nc1ccc(F)cc1F)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.286509456906058,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FE40>
166,CHEMBL4791690,5240.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccccc1Cl,5.280668713016274,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FF20>
167,CHEMBL4777564,5240.0,nM,O=C(Nc1ccccc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.280668713016274,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359FF90>
169,CHEMBL4783298,5460.0,nM,O=C(Nc1ccc(Cl)cc1Cl)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.262807357295262,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35960B0>
170,CHEMBL4781055,5610.0,nM,Cc1ccc(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.251037138743838,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596120>
171,CHEMBL4784509,5740.0,nM,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(C(F)(F)F)cc1,5.241088107602026,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596190>
174,CHEMBL3609329,6000.0,nM,CN1CCN(C2=Nc3cc(F)ccc3N(C)c3ccc(Cl)cc32)CC1,5.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35962E0>
175,CHEMBL4550702,6200.0,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,5.207608310501746,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596350>
176,CHEMBL4800174,6260.0,nM,Cc1ccccc1C(=O)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.20342566678957,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35963C0>
177,CHEMBL4796946,6270.0,nM,Cc1cccc(C)c1NC(=O)N1CCC(Nc2ncnc3[nH]ncc23)CC1,5.202732459169283,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596430>
178,CHEMBL3596901,6300.0,nM,O=S(=O)(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,5.200659450546418,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB35964A0>
179,CHEMBL4781239,6370.0,nM,COc1ccc(NC(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,5.195860567664649,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596510>
182,CHEMBL4783933,6770.0,nM,Cc1cc(C)c(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)c(C)c1,5.169411331314856,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB3596660>
